96847,-24.30,-5.40,-1114.67,14.60,-7.75,-19.18,
96858,-24.72,-5.75,-1114.67,14.78,-5.53,-19.06,
96887,-24.35,-5.94,-1114.52,13.11,-7.09,-20.42,
96898,-24.33,-6.24,-1114.45,13.21,-5.66,-20.41,
96908,-24.28,-6.63,-1114.38,13.12,-5.27,-20.40,
96917,-24.11,-6.84,-1114.30,12.63,-5.89,-20.33,
96927,-24.37,-6.53,-1114.30,14.21,-7.74,-20.65,
96937,-24.23,-6.02,-1114.43,12.58,-8.54,-20.21,
96948,-24.63,-6.03,-1114.48,14.55,-6.69,-19.91,
96957,-23.13,-6.81,-1114.12,7.65,-3.90,-18.46,
96967,-23.73,-6.72,-1113.64,15.12,-6.96,-17.96,
96977,-23.90,-5.80,-1113.41,13.63,-9.97,-18.80,
96988,-23.37,-4.98,-1113.39,11.29,-9.78,-19.34,
96998,-23.83,-6.16,-1113.57,14.83,-2.59,-20.07,
97008,-24.64,-6.00,-1113.79,16.14,-7.27,-20.27,
97018,-24.67,-7.30,-1113.76,13.45,-2.00,-19.35,
97029,-24.55,-8.64,-1113.41,12.90,-1.70,-18.18,
97039,-24.45,-7.97,-1112.98,12.94,-8.82,-17.33,
97049,-24.93,-7.59,-1112.79,15.04,-7.84,-18.15,
97059,-25.84,-7.87,-1112.97,16.66,-5.47,-19.45,
97070,-25.22,-8.15,-1112.89,11.23,-5.47,-18.50,
97080,-25.96,-7.93,-1112.92,16.11,-7.25,-18.94,
97090,-26.33,-7.83,-1112.64,14.85,-6.80,-17.80,
97099,-26.20,-7.31,-1112.25,13.11,-8.38,-17.32,
97110,-25.73,-7.07,-1111.83,11.83,-7.43,-17.19,
97120,-26.41,-7.53,-1111.74,15.93,-4.91,-18.35,
97129,-26.80,-6.79,-1111.76,15.00,-9.21,-18.72,
97139,-26.98,-7.53,-1111.66,14.29,-3.95,-18.30,
97149,-27.30,-7.95,-1111.42,14.63,-4.99,-17.93,
97160,-28.22,-8.51,-1111.40,16.86,-4.42,-18.71,
97169,-26.91,-7.65,-1111.19,8.88,-9.54,-18.02,
97179,-24.85,-7.41,-1111.05,5.97,-7.35,-18.25,
97189,-25.68,-7.83,-1111.12,16.18,-5.01,-19.00,
97200,-26.68,-7.86,-1111.23,17.12,-6.39,-19.13,
97210,-26.92,-7.69,-1110.90,14.48,-7.08,-17.57,
97219,-25.82,-9.13,-1110.43,9.63,-1.26,-16.99,
97229,-25.75,-7.92,-1110.14,13.22,-10.71,-17.58,
97240,-26.05,-7.27,-1109.98,14.57,-8.86,-18.02,
97250,-26.97,-7.35,-1110.07,16.87,-6.25,-18.90,
97260,-27.06,-8.21,-1109.80,13.97,-3.43,-17.63,
97270,-25.04,-8.35,-1109.49,6.31,-5.92,-17.40,
97281,-25.60,-7.80,-1109.25,15.45,-8.42,-17.65,
97291,-26.22,-6.99,-1109.17,15.70,-9.42,-18.18,
97301,-27.03,-7.94,-1109.15,16.48,-3.15,-18.39,
97310,-25.50,-8.61,-1108.77,8.10,-4.03,-17.10,
97320,-24.65,-7.69,-1108.54,10.35,-9.70,-17.59,
97331,-25.54,-6.97,-1108.72,16.54,-9.14,-19.03,
97340,-26.26,-7.96,-1108.62,16.08,-3.01,-18.04,
97350,-25.55,-8.76,-1107.96,10.97,-3.52,-16.00,
97360,-25.12,-7.96,-1107.54,11.69,-9.28,-16.78,
97371,-26.09,-7.67,-1107.72,16.74,-7.52,-18.90,
97381,-26.48,-8.63,-1107.62,14.76,-3.03,-17.87,
97390,-26.70,-8.57,-1107.22,14.19,-6.57,-16.80,
97400,-27.20,-7.74,-1107.02,15.25,-9.40,-17.49,
97411,-25.62,-8.75,-1106.52,7.94,-2.81,-16.36,
97421,-25.08,-7.82,-1106.20,11.50,-9.76,-16.93,
97430,-26.18,-7.76,-1106.81,17.40,-6.70,-20.26,
97471,-26.37,-8.70,-1106.72,17.18,-4.18,-18.42,
97481,-24.94,-7.15,-1107.14,8.36,-12.00,-19.64,
97490,-23.03,-5.81,-1107.51,6.40,-11.45,-19.55,
97501,-24.00,-6.72,-1107.97,16.63,-3.48,-19.92,
97511,-22.37,-8.50,-1108.03,7.30,-0.15,-18.51,
97520,-20.18,-7.49,-1107.95,5.04,-10.07,-18.01,
